lat_info;lng_info;city_name;state_id;state_name;region_name
18,18027;-66,75266;Adjuntas;PR;Puerto Rico;Caribbean (Territory)
18,36075;-67,17541;Aguada;PR;Puerto Rico;Caribbean (Territory)
18,45744;-67,12225;Aguadilla;PR;Puerto Rico;Caribbean (Territory)
18,16585;-66,93716;Maricao;PR;Puerto Rico;Caribbean (Territory)
18,2911;-67,12243;Anasco;PR;Puerto Rico;Caribbean (Territory)
18,27698;-66,80688;Angeles;PR;Puerto Rico;Caribbean (Territory)
18,41283;-66,7051;Arecibo;PR;Puerto Rico;Caribbean (Territory)
18,41878;-66,6679;Bajadero;PR;Puerto Rico;Caribbean (Territory)
18,44598;-66,56006;Barceloneta;PR;Puerto Rico;Caribbean (Territory)
17,98892;-67,1566;Boqueron;PR;Puerto Rico;Caribbean (Territory)
18,08429;-67,15336;Cabo Rojo;PR;Puerto Rico;Caribbean (Territory)
18,05905;-66,71932;Penuelas;PR;Puerto Rico;Caribbean (Territory)
18,41905;-66,86037;Camuy;PR;Puerto Rico;Caribbean (Territory)
18,1852;-66,83169;Castaner;PR;Puerto Rico;Caribbean (Territory)
18,081;-66,94659;Sabana Grande;PR;Puerto Rico;Caribbean (Territory)
18,28462;-66,5137;Ciales;PR;Puerto Rico;Caribbean (Territory)
18,26742;-66,70212;Utuado;PR;Puerto Rico;Caribbean (Territory)
18,43251;-66,28429;Dorado;PR;Puerto Rico;Caribbean (Territory)
17,96667;-66,94266;Ensenada;PR;Puerto Rico;Caribbean (Territory)
18,34487;-66,58347;Florida;PR;Puerto Rico;Caribbean (Territory)
18,45614;-66,60194;Garrochales;PR;Puerto Rico;Caribbean (Territory)
17,99413;-66,90266;Guanica;PR;Puerto Rico;Caribbean (Territory)
18,04186;-66,79123;Guayanilla;PR;Puerto Rico;Caribbean (Territory)
18,41036;-66,79691;Hatillo;PR;Puerto Rico;Caribbean (Territory)
18,13412;-67,11399;Hormigueros;PR;Puerto Rico;Caribbean (Territory)
18,46622;-67,01508;Isabela;PR;Puerto Rico;Caribbean (Territory)
18,21064;-66,59066;Jayuya;PR;Puerto Rico;Caribbean (Territory)
18,01246;-67,0417;Lajas;PR;Puerto Rico;Caribbean (Territory)
18,27019;-66,86727;Lares;PR;Puerto Rico;Caribbean (Territory)
18,23782;-66,98852;Las Marias;PR;Puerto Rico;Caribbean (Territory)
18,42229;-66,4891;Manati;PR;Puerto Rico;Caribbean (Territory)
18,37897;-67,08098;Moca;PR;Puerto Rico;Caribbean (Territory)
18,33535;-67,23155;Rincon;PR;Puerto Rico;Caribbean (Territory)
18,42949;-66,93016;Quebradillas;PR;Puerto Rico;Caribbean (Territory)
18,16307;-67,36122;Mayaguez;PR;Puerto Rico;Caribbean (Territory)
18,10926;-67,03803;San German;PR;Puerto Rico;Caribbean (Territory)
18,33656;-66,97518;San Sebastian;PR;Puerto Rico;Caribbean (Territory)
18,31707;-66,42029;Morovis;PR;Puerto Rico;Caribbean (Territory)
18,3807;-66,62496;Sabana Hoyos;PR;Puerto Rico;Caribbean (Territory)
18,49363;-67,09734;San Antonio;PR;Puerto Rico;Caribbean (Territory)
18,40905;-66,33768;Vega Alta;PR;Puerto Rico;Caribbean (Territory)
18,42633;-66,39811;Vega Baja;PR;Puerto Rico;Caribbean (Territory)
18,07274;-66,85519;Yauco;PR;Puerto Rico;Caribbean (Territory)
18,24739;-66,13143;Aguas Buenas;PR;Puerto Rico;Caribbean (Territory)
17,97442;-66,22888;Aguirre;PR;Puerto Rico;Caribbean (Territory)
18,1294;-66,26653;Aibonito;PR;Puerto Rico;Caribbean (Territory)
18,01752;-65,92127;Maunabo;PR;Puerto Rico;Caribbean (Territory)
17,9981;-66,05635;Arroyo;PR;Puerto Rico;Caribbean (Territory)
17,99738;-66,56104;Mercedita;PR;Puerto Rico;Caribbean (Territory)
17,99942;-66,59868;Ponce;PR;Puerto Rico;Caribbean (Territory)
18,23145;-65,76067;Naguabo;PR;Puerto Rico;Caribbean (Territory)
18,28879;-66,25316;Naranjito;PR;Puerto Rico;Caribbean (Territory)
18,21559;-66,42421;Orocovis;PR;Puerto Rico;Caribbean (Territory)
18,03139;-66,01122;Patillas;PR;Puerto Rico;Caribbean (Territory)
18,22052;-66,03962;Caguas;PR;Puerto Rico;Caribbean (Territory)
18,33524;-65,88677;Canovanas;PR;Puerto Rico;Caribbean (Territory)
18,2525;-65,67534;Ceiba;PR;Puerto Rico;Caribbean (Territory)
18,10736;-66,14994;Cayey;PR;Puerto Rico;Caribbean (Territory)
18,31793;-65,66793;Fajardo;PR;Puerto Rico;Caribbean (Territory)
18,17543;-66,16198;Cidra;PR;Puerto Rico;Caribbean (Territory)
18,33251;-65,63419;Puerto Real;PR;Puerto Rico;Caribbean (Territory)
18,16569;-65,75506;Punta Santiago;PR;Puerto Rico;Caribbean (Territory)
18,3466;-65,81382;Rio Grande;PR;Puerto Rico;Caribbean (Territory)
18,01205;-66,25871;Salinas;PR;Puerto Rico;Caribbean (Territory)
18,1447;-65,97565;San Lorenzo;PR;Puerto Rico;Caribbean (Territory)
17,9933;-66,39056;Santa Isabel;PR;Puerto Rico;Caribbean (Territory)
18,12365;-65,43013;Vieques;PR;Puerto Rico;Caribbean (Territory)
18,13039;-66,4757;Villalba;PR;Puerto Rico;Caribbean (Territory)
18,07033;-65,89618;Yabucoa;PR;Puerto Rico;Caribbean (Territory)
18,09459;-66,3607;Coamo;PR;Puerto Rico;Caribbean (Territory)
18,18797;-65,86916;Las Piedras;PR;Puerto Rico;Caribbean (Territory)
18,43048;-65,90377;Loiza;PR;Puerto Rico;Caribbean (Territory)
18,34073;-65,72756;Luquillo;PR;Puerto Rico;Caribbean (Territory)
18,31387;-65,28618;Culebra;PR;Puerto Rico;Caribbean (Territory)
18,22365;-65,90904;Juncos;PR;Puerto Rico;Caribbean (Territory)
18,26319;-65,97938;Gurabo;PR;Puerto Rico;Caribbean (Territory)
18,09998;-66,57032;Coto Laurel;PR;Puerto Rico;Caribbean (Territory)
18,22501;-66,22452;Comerio;PR;Puerto Rico;Caribbean (Territory)
18,30348;-66,32851;Corozal;PR;Puerto Rico;Caribbean (Territory)
18,00558;-66,13651;Guayama;PR;Puerto Rico;Caribbean (Territory)
18,1357;-66,22881;La Plata;PR;Puerto Rico;Caribbean (Territory)
18,14391;-65,81398;Humacao;PR;Puerto Rico;Caribbean (Territory)
18,19934;-66,31179;Barranquitas;PR;Puerto Rico;Caribbean (Territory)
18,05128;-66,49485;Juana Diaz;PR;Puerto Rico;Caribbean (Territory)
18,34349;-64,9287;St Thomas;VI;Virgin Islands;0
17,7388;-64,70695;Christiansted;VI;Virgin Islands;0
18,33857;-64,73802;St John;VI;Virgin Islands;0
17,72649;-64,84717;Frederiksted;VI;Virgin Islands;0
17,72763;-64,79122;Kingshill;VI;Virgin Islands;0
18,46478;-66,10277;San Juan;PR;Puerto Rico;Caribbean (Territory)
18,41372;-66,11998;Fort Buchanan;PR;Puerto Rico;Caribbean (Territory)
18,43166;-66,21349;Toa Baja;PR;Puerto Rico;Caribbean (Territory)
18,42874;-66,18897;Sabana Seca;PR;Puerto Rico;Caribbean (Territory)
18,36319;-66,24764;Toa Alta;PR;Puerto Rico;Caribbean (Territory)
18,32121;-66,17185;Bayamon;PR;Puerto Rico;Caribbean (Territory)
18,43514;-66,13949;Catano;PR;Puerto Rico;Caribbean (Territory)
18,42853;-66,11175;Guaynabo;PR;Puerto Rico;Caribbean (Territory)
18,33903;-65,99286;Trujillo Alto;PR;Puerto Rico;Caribbean (Territory)
18,43734;-66,0089;Carolina;PR;Puerto Rico;Caribbean (Territory)
42,06262;-72,62521;Agawam;MA;Massachusetts;Northeast
42,37633;-72,46462;Amherst;MA;Massachusetts;Northeast
42,42117;-72,10655;Barre;MA;Massachusetts;Northeast
42,28163;-72,40009;Belchertown;MA;Massachusetts;Northeast
42,18234;-72,95819;Blandford;MA;Massachusetts;Northeast
42,21133;-72,34189;Bondsville;MA;Massachusetts;Northeast
42,12904;-72,20597;Brimfield;MA;Massachusetts;Northeast
42,30233;-72,96448;Chester;MA;Massachusetts;Northeast
42,38495;-72,84675;Chesterfield;MA;Massachusetts;Northeast
42,16059;-72,60788;Chicopee;MA;Massachusetts;Northeast
42,46858;-72,92296;Cummington;MA;Massachusetts;Northeast
42,29506;-72,74303;Easthampton;MA;Massachusetts;Northeast
42,05967;-72,49899;East Longmeadow;MA;Massachusetts;Northeast
42,19402;-73,05067;East Otis;MA;Massachusetts;Northeast
42,06869;-72,67967;Feeding Hills;MA;Massachusetts;Northeast
42,32782;-72,19191;Gilbertville;MA;Massachusetts;Northeast
42,45313;-72,81965;Goshen;MA;Massachusetts;Northeast
42,26082;-72,50361;Granby;MA;Massachusetts;Northeast
42,0826;-72,95611;Granville;MA;Massachusetts;Northeast
42,35563;-72,5692;Hadley;MA;Massachusetts;Northeast
42,0638;-72,4157;Hampden;MA;Massachusetts;Northeast
42,37063;-72,19466;Hardwick;MA;Massachusetts;Northeast
42,38466;-72,60559;Hatfield;MA;Massachusetts;Northeast
42,41049;-72,69188;Haydenville;MA;Massachusetts;Northeast
42,21251;-72,64109;Holyoke;MA;Massachusetts;Northeast
42,29092;-72,87526;Huntington;MA;Massachusetts;Northeast
42,35205;-72,71032;Leeds;MA;Massachusetts;Northeast
42,47381;-72,48768;Leverett;MA;Massachusetts;Northeast
